Activity, Exercise or Sport (1 hour);130 lb;155 lb;180 lb;205 lb;Calories per kg
Cycling, mountain bike, bmx;502;598;695;791;1.75072971940299
Cycling, <10 mph, leisure bicycling;236;281;327;372;0.82323562985074605
Cycling, >20 mph, racing;944;1126;1308;1489;3.2949735283582098
Cycling, 10-11.9 mph, light;354;422;490;558;1.2348534447761199
Cycling, 12-13.9 mph, moderate;472;563;654;745;1.6478252656716399
Cycling, 14-15.9 mph, vigorous;590;704;817;931;2.0594430805970201
Cycling, 16-19 mph, very fast, racing;708;844;981;1117;2.4710608955223901
Unicycling;295;352;409;465;1.02972154029851
Stationary cycling, very light;177;211;245;279;0.61742672238805996
Stationary cycling, light;325;387;449;512;1.13262599402985
Stationary cycling, moderate;413;493;572;651;1.44133935522388
Stationary cycling, vigorous;620;739;858;977;2.1623475343283598
Stationary cycling, very vigorous;738;880;1022;1163;2.57464235223881
Calisthenics, vigorous, pushups, situps…;472;563;654;745;1.6478252656716399
Calisthenics, light;207;246;286;326;0.72100817910447801
Circuit training, minimal rest;472;563;654;745;1.6478252656716399
Weight lifting, body building, vigorous;354;422;490;558;1.2348534447761199
Weight lifting, light workout;177;211;245;279;0.61742672238805996
Health club exercise;325;387;449;512;1.13262599402985
Stair machine;531;633;735;838;1.85295717014925
Rowing machine, light;207;246;286;326;0.72100817910447801
Rowing machine, moderate;413;493;572;651;1.44133935522388
Rowing machine, vigorous;502;598;695;791;1.75072971940299
Rowing machine, very vigorous;708;844;981;1117;2.4710608955223901
Ski machine;413;493;572;651;1.44133935522388
Aerobics, low impact;295;352;409;465;1.02972154029851
Aerobics, high impact;413;493;572;651;1.44133935522388
Aerobics, step aerobics;502;598;695;791;1.75072971940299
Aerobics, general;384;457;531;605;1.3384349014925401
Jazzercise;354;422;490;558;1.2348534447761199
Stretching, hatha yoga;236;281;327;372;0.82323562985074605
Mild stretching;148;176;204;233;0.51519927164179102
Instructing aerobic class;354;422;490;558;1.2348534447761199
Water aerobics;236;281;327;372;0.82323562985074605
Ballet, twist, jazz, tap;266;317;368;419;0.927494089552239
Ballroom dancing, slow;177;211;245;279;0.61742672238805996
Ballroom dancing, fast;325;387;449;512;1.13262599402985
Running, 5 mph (12 minute mile);472;563;654;745;1.6478252656716399
Running, 5.2 mph (11.5 minute mile);531;633;735;838;1.85295717014925
Running, 6 mph (10 min mile);590;704;817;931;2.0594430805970201
Running, 6.7 mph (9 min mile);649;774;899;1024;2.2652519880597
Running, 7 mph (8.5 min mile);679;809;940;1070;2.3681564417910401
Running, 7.5mph (8 min mile);738;880;1022;1163;2.57464235223881
Running, 8 mph (7.5 min mile);797;950;1103;1256;2.7797742567164199
Running, 8.6 mph (7 min mile);826;985;1144;1303;2.88267871044776
Running, 9 mph (6.5 min mile);885;1056;1226;1396;3.0891646208955201
Running, 10 mph (6 min mile);944;1126;1308;1489;3.2949735283582098
Running, 10.9 mph (5.5 min mile);1062;1267;1471;1675;3.7065913432835802
Running, cross country;531;633;735;838;1.85295717014925
Running, general;472;563;654;745;1.6478252656716399
Running, on a track, team practice;590;704;817;931;2.0594430805970201
Running, stairs, up;885;1056;1226;1396;3.0891646208955201
Track and field (shot, discus);236;281;327;372;0.82323562985074605
Track and field (high jump, pole vault);354;422;490;558;1.2348534447761199
Track and field (hurdles);590;704;817;931;2.0594430805970201
Archery;207;246;286;326;0.72100817910447801
Badminton;266;317;368;419;0.927494089552239
Basketball game, competitive;472;563;654;745;1.6478252656716399
Playing basketball, non game;354;422;490;558;1.2348534447761199
Basketball, officiating;413;493;572;651;1.44133935522388
Basketball, shooting baskets;266;317;368;419;0.927494089552239
Basketball, wheelchair;384;457;531;605;1.3384349014925401
Running, training, pushing wheelchair;472;563;654;745;1.6478252656716399
Billiards;148;176;204;233;0.51519927164179102
Bowling;177;211;245;279;0.61742672238805996
Boxing, in ring;708;844;981;1117;2.4710608955223901
Boxing, punching bag;354;422;490;558;1.2348534447761199
Boxing, sparring;531;633;735;838;1.85295717014925
Coaching: football, basketball, soccer...;236;281;327;372;0.82323562985074605
Cricket (batting, bowling);295;352;409;465;1.02972154029851
Croquet;148;176;204;233;0.51519927164179102
Curling;236;281;327;372;0.82323562985074605
Darts (wall or lawn);148;176;204;233;0.51519927164179102
Fencing;354;422;490;558;1.2348534447761199
Football, competitive;531;633;735;838;1.85295717014925
Football, touch, flag, general;472;563;654;745;1.6478252656716399
Football or baseball, playing catch;148;176;204;233;0.51519927164179102
Frisbee playing, general;177;211;245;279;0.61742672238805996
Frisbee, ultimate frisbee;472;563;654;745;1.6478252656716399
Golf, general;266;317;368;419;0.927494089552239
Golf, walking and carrying clubs;266;317;368;419;0.927494089552239
Golf, driving range;177;211;245;279;0.61742672238805996
Golf, miniature golf;177;211;245;279;0.61742672238805996
Golf, walking and pulling clubs;254;303;351;400;0.88551990447761197
Golf, using power cart;207;246;286;326;0.72100817910447801
Gymnastics;236;281;327;372;0.82323562985074605
Hacky sack;236;281;327;372;0.82323562985074605
Handball;708;844;981;1117;2.4710608955223901
Handball, team;472;563;654;745;1.6478252656716399
Hockey, field hockey;472;563;654;745;1.6478252656716399
Hockey, ice hockey;472;563;654;745;1.6478252656716399
Riding a horse, general;236;281;327;372;0.82323562985074605
Horesback riding, saddling horse;207;246;286;326;0.72100817910447801
Horseback riding, grooming horse;207;246;286;326;0.72100817910447801
Horseback riding, trotting;384;457;531;605;1.3384349014925401
Horseback riding, walking;148;176;204;233;0.51519927164179102
Horse racing, galloping;472;563;654;745;1.6478252656716399
Horse grooming, moderate;354;422;490;558;1.2348534447761199
Horseshoe pitching;177;211;245;279;0.61742672238805996
Jai alai;708;844;981;1117;2.4710608955223901
Martial arts, judo, karate, jujitsu;590;704;817;931;2.0594430805970201
Martial arts, kick boxing;590;704;817;931;2.0594430805970201
Martial arts, tae kwan do;590;704;817;931;2.0594430805970201
Krav maga training;590;704;817;931;2.0594430805970201
Juggling;236;281;327;372;0.82323562985074605
Kickball;413;493;572;651;1.44133935522388
Lacrosse;472;563;654;745;1.6478252656716399
Orienteering;531;633;735;838;1.85295717014925
Playing paddleball;354;422;490;558;1.2348534447761199
Paddleball, competitive;590;704;817;931;2.0594430805970201
Polo;472;563;654;745;1.6478252656716399
Racquetball, competitive;590;704;817;931;2.0594430805970201
Playing racquetball;413;493;572;651;1.44133935522388
Rock climbing, ascending rock;649;774;899;1024;2.2652519880597
Rock climbing, rappelling;472;563;654;745;1.6478252656716399
Jumping rope, fast;708;844;981;1117;2.4710608955223901
Jumping rope, moderate;590;704;817;931;2.0594430805970201
Jumping rope, slow;472;563;654;745;1.6478252656716399
Rugby;590;704;817;931;2.0594430805970201
Shuffleboard, lawn bowling;177;211;245;279;0.61742672238805996
Skateboarding;295;352;409;465;1.02972154029851
Roller skating;413;493;572;651;1.44133935522388
Roller blading, in-line skating;708;844;981;1117;2.4710608955223901
Sky diving;177;211;245;279;0.61742672238805996
Soccer, competitive;590;704;817;931;2.0594430805970201
Playing soccer;413;493;572;651;1.44133935522388
Softball or baseball;295;352;409;465;1.02972154029851
Softball, officiating;236;281;327;372;0.82323562985074605
Softball, pitching;354;422;490;558;1.2348534447761199
Squash;708;844;981;1117;2.4710608955223901
Table tennis, ping pong;236;281;327;372;0.82323562985074605
Tai chi;236;281;327;372;0.82323562985074605
Playing tennis;413;493;572;651;1.44133935522388
Tennis, doubles;354;422;490;558;1.2348534447761199
Tennis, singles;472;563;654;745;1.6478252656716399
Trampoline;207;246;286;326;0.72100817910447801
Volleyball, competitive;472;563;654;745;1.6478252656716399
Playing volleyball;177;211;245;279;0.61742672238805996
Volleyball, beach;472;563;654;745;1.6478252656716399
Wrestling;354;422;490;558;1.2348534447761199
Wallyball;413;493;572;651;1.44133935522388
Backpacking, Hiking with pack;413;493;572;651;1.44133935522388
Carrying infant, level ground;207;246;286;326;0.72100817910447801
Carrying infant, upstairs;295;352;409;465;1.02972154029851
Carrying 16 to 24 lbs, upstairs;354;422;490;558;1.2348534447761199
Carrying 25 to 49 lbs, upstairs;472;563;654;745;1.6478252656716399
Standing, playing with children, light;165;197;229;261;0.57680654328358205
Walk/run, playing with children, moderate;236;281;327;372;0.82323562985074605
Walk/run, playing with children, vigorous;295;352;409;465;1.02972154029851
Carrying small children;177;211;245;279;0.61742672238805996
Loading, unloading car;177;211;245;279;0.61742672238805996
Climbing hills, carrying up to 9 lbs;413;493;572;651;1.44133935522388
Climbing hills, carrying 10 to 20 lb;443;528;613;698;1.5449208119403
Climbing hills, carrying 21 to 42 lb;472;563;654;745;1.6478252656716399
Climbing hills, carrying over 42 lb;531;633;735;838;1.85295717014925
Walking downstairs;177;211;245;279;0.61742672238805996
Hiking, cross country;354;422;490;558;1.2348534447761199
Bird watching;148;176;204;233;0.51519927164179102
Marching, rapidly, military;384;457;531;605;1.3384349014925401
Children's games, hopscotch, dodgeball;295;352;409;465;1.02972154029851
Pushing stroller or walking with children;148;176;204;233;0.51519927164179102
Pushing a wheelchair;236;281;327;372;0.82323562985074605
Race walking;384;457;531;605;1.3384349014925401
Rock climbing, mountain climbing;472;563;654;745;1.6478252656716399
Walking using crutches;295;352;409;465;1.02972154029851
Walking the dog;177;211;245;279;0.61742672238805996
Walking, under 2.0 mph, very slow;118;141;163;186;0.41161781492537303
Walking 2.0 mph, slow;148;176;204;233;0.51519927164179102
Walking 2.5 mph;177;211;245;279;0.61742672238805996
Walking 3.0 mph, moderate;195;232;270;307;0.67971099701492499
Walking 3.5 mph, brisk pace;224;267;311;354;0.78261545074626904
Walking 3.5 mph, uphill;354;422;490;558;1.2348534447761199
Walking 4.0 mph, very brisk;295;352;409;465;1.02972154029851
Walking 4.5 mph;372;443;515;586;1.2971377194029901
Walking 5.0 mph;472;563;654;745;1.6478252656716399
Boating, power, speed boat;148;176;204;233;0.51519927164179102
Canoeing, camping trip;236;281;327;372;0.82323562985074605
Canoeing, rowing, light;177;211;245;279;0.61742672238805996
Canoeing, rowing, moderate;413;493;572;651;1.44133935522388
Canoeing, rowing, vigorous;708;844;981;1117;2.4710608955223901
Crew, sculling, rowing, competition;708;844;981;1117;2.4710608955223901
Kayaking;295;352;409;465;1.02972154029851
Paddle boat;236;281;327;372;0.82323562985074605
Windsurfing, sailing;177;211;245;279;0.61742672238805996
Sailing, competition;295;352;409;465;1.02972154029851
Sailing, yachting, ocean sailing;177;211;245;279;0.61742672238805996
Skiing, water skiing;354;422;490;558;1.2348534447761199
Ski mobiling;413;493;572;651;1.44133935522388
Skin diving, fast;944;1126;1308;1489;3.2949735283582098
Skin diving, moderate;738;880;1022;1163;2.57464235223881
Skin diving, scuba diving;413;493;572;651;1.44133935522388
Snorkeling;295;352;409;465;1.02972154029851
Surfing, body surfing or board surfing;177;211;245;279;0.61742672238805996
Whitewater rafting, kayaking, canoeing;295;352;409;465;1.02972154029851
Swimming laps, freestyle, fast;590;704;817;931;2.0594430805970201
Swimming laps, freestyle, slow;413;493;572;651;1.44133935522388
Swimming backstroke;413;493;572;651;1.44133935522388
Swimming breaststroke;590;704;817;931;2.0594430805970201
Swimming butterfly;649;774;899;1024;2.2652519880597
Swimming leisurely, not laps;354;422;490;558;1.2348534447761199
Swimming sidestroke;472;563;654;745;1.6478252656716399
Swimming synchronized;472;563;654;745;1.6478252656716399
Swimming, treading water, fast, vigorous;590;704;817;931;2.0594430805970201
Swimming, treading water, moderate;236;281;327;372;0.82323562985074605
Water aerobics, water calisthenics;236;281;327;372;0.82323562985074605
Water polo;590;704;817;931;2.0594430805970201
Water volleyball;177;211;245;279;0.61742672238805996
Water jogging;472;563;654;745;1.6478252656716399
Diving, springboard or platform;177;211;245;279;0.61742672238805996
Ice skating, < 9 mph;325;387;449;512;1.13262599402985
Ice skating, average speed;413;493;572;651;1.44133935522388
Ice skating, rapidly;531;633;735;838;1.85295717014925
Speed skating, ice, competitive;885;1056;1226;1396;3.0891646208955201
Cross country snow skiing, slow;413;493;572;651;1.44133935522388
Cross country skiing, moderate;472;563;654;745;1.6478252656716399
Cross country skiing, vigorous;531;633;735;838;1.85295717014925
Cross country skiing, racing;826;985;1144;1303;2.88267871044776
Cross country skiing, uphill;974;1161;1348;1536;3.3978779820895499
Snow skiing, downhill skiing, light;295;352;409;465;1.02972154029851
Downhill snow skiing, moderate;354;422;490;558;1.2348534447761199
Downhill snow skiing, racing;472;563;654;745;1.6478252656716399
Sledding, tobagganing, luge;413;493;572;651;1.44133935522388
Snow shoeing;472;563;654;745;1.6478252656716399
Snowmobiling;207;246;286;326;0.72100817910447801
General housework;207;246;286;326;0.72100817910447801
Cleaning gutters;295;352;409;465;1.02972154029851
Painting;266;317;368;419;0.927494089552239
Sit, playing with animals;148;176;204;233;0.51519927164179102
Walk / run, playing with animals;236;281;327;372;0.82323562985074605
Bathing dog;207;246;286;326;0.72100817910447801
Mowing lawn, walk, power mower;325;387;449;512;1.13262599402985
Mowing lawn, riding mower;148;176;204;233;0.51519927164179102
Walking, snow blower;207;246;286;326;0.72100817910447801
Riding, snow blower;177;211;245;279;0.61742672238805996
